title,view,posted,post_By
"Ram Siya Ram (Hindi) Adipurush | Prabhas | Sachet-Parampara, Manoj Muntashir S | Om Raut | Bhushan K",57M views,7 days ago,T-Series
"Zihaal e Miskin (Video) Javed-Mohsin | Vishal Mishra, Shreya Ghoshal | Rohit Z, Nimrit A | Kunaal V",34M views,11 days ago,VYRLOriginals
"Tere Vaaste | Zara Hatke Zara Bachke | Vicky Kaushal, Sara Ali Khan, Varun J, Sachin-Jigar,Amitabh B",27M views,2 weeks ago,Saregama Music
"YAAD TERI AAYE BAAR BAAR: Sourav Joshi Vlogs & Pooh In Korea | Saaj Bhatt, Sandeep Batraa | Sad Song",1.3M views,12 hours ago,Voilà! Digi
"Phir Aur Kya Chahiye| Zara Hatke Zara Bachke| Vicky K, Sara Ali K, Arijit Singh,Sachin-Jigar,Amitabh",57M views,2 weeks ago,Saregama Music
Kya Loge Tum | Akshay Kumar | Amyra Dastur | BPraak | Jaani | Arvindr Khaira | Zohrajabeen,148M views,3 weeks ago,DM - Desi Melodies
પરદેશી જોનો આઈ I Pardeshi Jono Aayi (4K Video) I Vikram Thakor I New Gujarati Sad Song,2.3M views,7 days ago,T-Series Gujarati
EMIWAY - KING OF INDIAN HIP HOP (PROD BY Babz beats) | OFFICIAL MUSIC VIDEO | EXPLICIT,1.3M views,19 hours ago,Emiway Bantai
"Jai Shri Ram (Hindi) Adipurush | Prabhas | Ajay-Atul, Manoj Muntashir Shukla | Om Raut | Bhushan K",105M views,2 weeks ago,T-Series
"Ram Siya Ram (Audio) Adipurush | Prabhas | Sachet-Parampara, Manoj Muntashir S | Om Raut | Bhushan K",1.2M views,2 days ago,T-Series
"O Bedardeya (Film Version) Tu Jhoothi Main Makkaar | Ranbir, Shraddha | Pritam, Arijit S, Amitabh B",766K views,1 day ago,T-Series
Naresh Thakor | બદલ્યા તમે ને અમને કહો છો | Badlaya Tame Ne Amane Kaho Cho | Gujarati New Song 2023,742K views,2 weeks ago,Saregama Gujarati
Kajal Maheriya | મોટર માર્ગે હાલી જાય | Motor Marge Hali Jaay | Gujarati New Song 2023 | ગુજરાતી ગીત,579K views,4 days ago,Saregama Gujarati
Rakesh Barot | Mara Love Ni Gadi - Lyrical | મારા લવ ની ગાડી | Gujarati Love Song 2023 | ગુજરાતી ગીત,225K views,9 days ago,Saregama Gujarati
VIJAY SUVADA | Raja Rani | રાજા રાણી | New Gujarati Song 2023 | Attitude Song | @StudioSaraswati,119K views,3 days ago,Studio Saraswati Official
Naresh Thakor | Dil Ne Manavi Lau | દિલ ને મનાવી લઉ | Gujarati New Sad Song 2023 | ગુજરાતી ગીત,1.3M views,3 weeks ago,Saregama Gujarati
"Naseeb Se (Video) SatyaPrem Ki Katha | Kartik, Kiara | Sameer V, Sajid N, Namah | Payal D, Vishal M",29M views,9 days ago,T-Series
Kajal Maheriya | Tame Mane Gamo Cho | Audio Song | તમે મને ગમો છો | Gujarati Love Song | ગુજરાતી ગીત,34K views,1 day ago,Saregama Gujarati
#Video | Murabba | #Khesari Lal Yadav | #Shilpi Raj | #Divya Ralhan | मुरब्बा | #Bhojpuri Gaana,15M views,12 days ago,Saregama Hum Bhojpuri
"Jai Shri Ram (Lyrical) Adipurush | Prabhas | Ajay-Atul, Manoj Muntashir Shukla | Om Raut | Bhushan K",1M views,1 day ago,T-Series
"Sent Ke Sisi - VIDEO | #Khesari Lal Yadav, #Shilpi Raj | FT. Sapna Chauhan | Bhojpuri Hit Song 2023",9.6M views,2 weeks ago,Khesari Music World
"Saanjha | Zara Hatke Zara Bachke|Vicky Kaushal, Sara Ali Khan,Sachet T,Shilpa R,Sachin-Jigar,Amitabh",10M views,3 days ago,Saregama Music
Vijay Suvada | તારાથી લવ થઈ ગયો | Tarathi Love Thai Gayo | Gujarati New Song 2023 | ગુજરાતી ગીત,432K views,7 days ago,Saregama Gujarati
Kajal Maheriya | પ્રેમમા પાગલ નહી થાવ | Premma Pagal Nahi Thav | Gujarati New Song 2023 |ગુજરાતી ગીત,639K views,11 days ago,Saregama Gujarati
MC STΔN X @KSHMRmusic HAATH VARTHI (Official Video) | 2023,22M views,3 weeks ago,MC STΔN
Tame Hedo Ne Pag Mara Dukhe | Mahesh Vanzara | New Gujarati Song 2023 | Ram Audio,262K views,9 days ago,Ram Audio
#Video | नथुनिया - Lyrical | #Khesari Lal New Song | Priyanka Singh | Nathuniya | #Bhojpuri Gana,714K views,2 days ago,Saregama Hum Bhojpuri
DIVINE - Sitara feat. Jonita Gandhi | Live Session,1.4M views,4 days ago,DIVINE
Rakesh Barot | નોનપણ ની યાદ - Lofi | Nonpan Ni Yaad | Gujarati Bewafa Song 2023 | ગુજરાતી ગીત,84K views,5 days ago,Saregama Gujarati
Jignesh Barot | Dil Todine Raji Raheje | New 2023 Sad Song | 4K Video | @EktaSound,467K views,2 weeks ago,Ekta Sound
